date, pm25, pm10
2020/8/28, 51, 18
2020/8/29, 54, 15
2020/8/30, 48, 22
2020/8/31, 69, 24
2020/9/1, 77, 22
2020/9/2, 71, 29
2020/9/3, 88, 35
2020/9/4, 104, 33
2020/9/5, 99, 18
2020/9/6, 60, 14
2020/9/7, 45, 12
2020/9/8, 35, 10
2020/9/9, 21, 10
2020/9/10, 24, 10
2020/9/11, 24, 12
2020/9/12, 35, 14
2020/9/13, 51, 17
2020/9/14, 62, 12
2020/9/15, 39, 11
2020/9/16, 34, 11
2020/9/17, 34, 12
2020/9/18, 37, 14
2020/9/19, 44, 7
2020/9/20, 16, 9
2020/9/21, 18, 11
2020/9/22, 31, 11
2020/9/23, 33, 9
2020/9/24, 20, 9
2020/9/25, 22, 10
2020/9/26, 25, 11
2020/9/27, 28, 14
2020/9/28, 46, 15
2020/9/29, 56, 11
2020/9/30, 38, 10
2020/4/1, 222, 102
2020/4/2, 211, 92
2020/4/3, 195, 121
2020/4/4, 249, 154
2020/4/5, 300, 
2020/4/7, 158, 103
2020/4/8, 211, 91
2020/4/9, 195, 69
2020/4/10, 168, 
2020/4/14, 145, 62
2020/4/15, 160, 63
2020/4/16, 160, 58
2020/4/17, 149, 60
2020/4/18, 159, 61
2020/4/19, 160, 66
2020/4/20, 164, 68
2020/4/21, 167, 57
2020/4/22, 148, 51
2020/4/23, 146, 48
2020/4/24, 140, 46
2020/4/25, 129, 26
2020/4/26, 84, 16
2020/4/27, 48, 
2020/4/30, 75, 29
2020/5/1, 88, 19
2020/5/2, 64, 17
2020/5/3, 57, 22
2020/5/4, 72, 22
2020/5/5, 72, 32
2020/5/6, 95, 41
2020/5/7, 119, 
2020/5/10, 93, 15
2020/5/11, 55, 18
2020/5/12, 60, 26
2020/5/13, 83, 22
2020/5/14, 73, 20
2020/5/15, 68, 24
2020/5/16, 77, 35
2020/5/17, 104, 41
2020/5/18, 117, 
2020/5/25, 123, 37
2020/5/26, 105, 28
2020/5/27, 84, 18
2020/5/28, 56, 13
2020/5/29, 41, 11
2020/5/30, 28, 13
2020/5/31, 37, 16
2020/6/1, 52, 17
2020/6/2, 53, 19
2020/6/3, 58, 18
2020/6/4, 57, 16
2020/6/5, 49, 16
2020/6/6, 49, 11
2020/6/7, 30, 10
2020/6/8, 23, 9
2020/6/9, 14, 10
2020/6/10, 21, 11
2020/6/11, 21, 11
2020/6/12, 24, 10
2020/6/13, 22, 13
2020/6/14, 37, 12
2020/6/15, 34, 10
2020/6/16, 22, 10
2020/6/17, 26, 11
2020/6/18, 32, 10
2020/6/19, 22, 10
2020/6/20, 22, 11
2020/6/21, 25, 10
2020/6/22, 25, 
2020/6/24, 19, 10
2020/6/25, 23, 9
2020/6/26, 19, 10
2020/6/27, 22, 9
2020/6/28, 14, 10
2020/6/29, 22, 9
2020/6/30, 19, 9
2020/1/7, 83, 62
2020/1/8, 159, 71
2020/1/9, 168, 55
2020/1/10, 148, 37
2020/1/11, 109, 47
2020/1/12, 130, 78
2020/1/13, 177, 
2020/1/20, 164, 70
2020/1/21, 169, 50
2020/1/22, 136, 30
2020/1/23, 91, 26
2020/1/24, 81, 33
2020/1/25, 99, 48
2020/1/26, 131, 41
2020/1/27, 115, 45
2020/1/28, 121, 
2020/2/1, 159, 49
2020/2/2, 134, 37
2020/2/3, 108, 43
2020/2/4, 123, 40
2020/2/5, 116, 44
2020/2/6, 126, 44
2020/2/7, 124, 62
2020/2/8, 160, 75
2020/2/9, 174, 61
2020/2/10, 158, 53
2020/2/11, 148, 42
2020/2/12, 122, 30
2020/2/13, 92, 27
2020/2/14, 84, 48
2020/2/15, 134, 73
2020/2/16, 173, 80
2020/2/17, 179, 68
2020/2/18, 167, 62
2020/2/19, 159, 
2020/3/2, 171, 59
2020/3/3, 156, 59
2020/3/4, 155, 42
2020/3/5, 120, 40
2020/3/6, 115, 46
2020/3/7, 129, 59
2020/3/8, 157, 66
2020/3/9, 160, 76
2020/3/10, 176, 75
2020/3/11, 165, 68
2020/3/12, 160, 117
2020/3/13, 241, 152
2020/3/14, 277, 147
2020/3/15, 274, 79
2020/3/16, 178, 64
2020/3/17, 162, 76
2020/3/18, 170, 115
2020/3/19, 222, 74
2020/3/20, 166, 59
2020/3/21, 152, 68
2020/3/22, 165, 89
2020/3/23, 197, 81
2020/3/24, 179, 183
2020/3/25, 290, 250
2020/3/26, 317, 331
2020/3/27, 398, 341
2020/3/28, 421, 253
2020/3/29, 340, 171
2020/3/30, 287, 120
2020/3/31, 242, 106
2019/10/19, 82, 32
2019/10/20, 95, 34
2019/10/21, 100, 32
2019/10/22, 96, 27
2019/10/23, 85, 28
2019/10/24, 86, 30
2019/10/25, 91, 30
2019/10/26, 92, 25
2019/10/27, 79, 21
2019/10/28, 71, 21
2019/10/29, 71, 13
2019/10/30, 37, 
2019/11/1, 38, 16
2019/11/2, 55, 20
2019/11/3, 67, 18
2019/11/4, 64, 32
2019/11/5, 95, 36
2019/11/6, 107, 38
